Account Owner (ID),Address / Address 1,Address / Address 2,Address / City,Address / State,Address / Country,Address / Post Code,ARR / Amount,ARR / Currency,Creation date,Domain Name / Link URL,Domain Name / Link Label,Domain Name / Secondary Links,Employees,Id,ICP,Linkedin / Link URL,Linkedin / Link Label,Linkedin / Secondary Links,Name,Last update,X / Link URL,X / Link Label,X / Secondary Links
,,,,,,,,INR,2024-12-02T15:27:04.000Z,,,[],,876d90bf-e6c2-491e-9f80-da1fe34fa0bc,true,,,[],Abhilasha Enterprises,2024-12-02T15:27:04.000Z,,,[]
,,,,,,,,INR,2024-07-05T12:50:03.000Z,,,[],,72cac6a7-faa1-49ec-9d20-65f332497200,true,,,[],Abhishek ji,2024-07-05T12:50:03.000Z,,,[]
,,,,,,,,INR,2024-12-04T13:41:30.000Z,,,[],,eb15e936-8b53-4e78-b917-c9310ecbc3a1,true,,,[],Ajay Ji,2024-12-04T13:41:30.000Z,,,[]
,,,,,,,,INR,2023-09-16T18:58:54.000Z,,,[],,feff9c91-aefe-40db-b227-d66f49b81386,true,,,[],AK Engineers,2024-05-14T15:30:54.000Z,,,[]
,,,,,,,,INR,2025-05-30T14:50:55.000Z,,,[],,38ab75a4-6270-44ab-92c8-155246a56b10,true,,,[],AMOLIK INFRASTRACTURE PRIVATE LIMITED,2025-05-30T14:50:55.000Z,,,[]
,,,,,,,,INR,2025-04-08T11:23:18.000Z,,,[],,8158f640-0570-4ee1-b22e-660f98109c7d,true,,,[],Arjun Bahl,2025-04-08T11:23:18.000Z,,,[]
,,,,,,,,INR,2025-01-08T12:36:44.000Z,,,[],,17319ca8-cecb-4d6f-971b-be3a3222d94a,true,,,[],Arpit Ji,2025-01-08T12:36:44.000Z,,,[]
,,,,,,,,INR,2025-06-18T13:15:43.000Z,,,[],,517482a1-b9d3-4527-b9bc-50e38f9cb032,true,,,[],Aryabhatta College,2025-06-18T13:15:43.000Z,,,[]
,,,,,,,,INR,2024-04-30T12:44:17.000Z,,,[],,27ea5528-aa75-4abe-a042-81a7bd7c6b1d,true,,,[],Arzone Infratech Pvt Ltd,2024-05-14T15:30:54.000Z,,,[]
,,,,,,,,INR,2024-09-24T16:23:03.000Z,,,[],,f33e21c8-7a95-451a-b10f-820b706f073f,true,,,[],B L Infra projects PVT LTD,2025-11-13T12:06:07.000Z,,,[]
,,,,,,,,INR,2024-09-10T14:10:23.000Z,,,[],,b9474d91-05af-47f5-b102-b180ad15d08a,true,,,[],B L Infra Projects Pvt. Ltd.,2024-12-20T12:37:38.000Z,,,[]
,,,,,,,,INR,2025-06-03T11:02:25.000Z,,,[],,9c00bc1f-5e1c-40c8-b9b9-aed8f2d0d162,true,,,[],B.G. Shirke Const. Tech. Pvt. Ltd.,2025-06-12T03:14:17.000Z,,,[]
,,,,,,,,INR,2025-04-03T17:02:44.000Z,,,[],,00c2590d-aacc-41bd-ad3f-04648309c7e0,true,,,[],B.G. SHIRKE CONSTRUCTION TECHNOLOGY PVT. LTD.,2025-04-03T17:02:44.000Z,,,[]
,"306 Manisha Building, 75-76, Nehru Place",,New Delhi,Delhi,India,110019,,INR,2023-11-08T17:01:35.000Z,,,[],,0e6e5382-3dcf-4934-b831-223ff1b7949d,true,,,[],Bahl Builders (P) Ltd,2024-08-01T17:00:26.000Z,,,[]
,,,,,,,,INR,2025-06-28T10:43:16.000Z,,,[],,a1733605-3d0c-4294-acf7-19f58e4b750c,true,,,[],Best Buildwell,2025-06-28T10:43:16.000Z,,,[]
,,,,,,,,INR,2025-12-11T12:29:53.000Z,,,[],,af7f9eb0-8313-493d-b3ff-dfa6385cdcfc,true,,,[],Capacite infra projects ltd,2025-12-11T12:29:53.000Z,,,[]
,,,,,,,,INR,2024-05-14T16:18:52.000Z,,,[],,40eef796-d78f-4415-aa9d-16be6b59ea6e,true,,,[],Carber Ev Solution (OPC) Pvt. ltd.,2024-05-14T17:20:11.000Z,,,[]
,,,,,,,,INR,2024-08-29T14:02:51.000Z,,,[],,c9c09c1c-89a3-42fa-a0e2-d6171ec094da,true,,,[],Central Public Works Department,2024-08-29T14:02:51.000Z,,,[]
,"NHPC Limited Kargil, UT-Ladakh",,,Ladakh,India,,,INR,2024-05-13T14:57:01.000Z,,,[],,6e92cd87-cd31-46ca-a02b-272ad5060640,true,,,[],Chutak Power Station,2024-05-30T12:07:00.000Z,,,[]
,,,,,,,,INR,2026-01-09T15:51:50.000Z,,,[],,65e8b0ae-45c5-4656-8070-2bf1c0bba510,true,,,[],Construction of Central Ayurveda Research Institute,2026-01-09T16:03:43.000Z,,,[]
,,,,,,,,INR,2024-08-31T12:44:14.000Z,,,[],,34cd0dcb-72d1-4643-8f26-1734a1aabb2d,true,,,[],CPWD,2024-08-31T12:44:14.000Z,,,[]
,,,,,,,,INR,2025-01-21T16:11:39.000Z,,,[],,e4a78060-ba90-4169-9c80-9e12146ceadb,true,,,[],CPWD DPC 2 RK PURAM EAST BLOCK 1,2025-01-27T14:49:23.000Z,,,[]
,,,,,,,,INR,2023-07-25T15:09:33.000Z,,,[],,9a3b451c-a615-4e74-8a94-2d49c4c98981,true,,,[],CPWD H Division,2024-05-01T18:09:39.000Z,,,[]
,,,,,,,,INR,2023-03-20T17:26:02.000Z,,,[],,6aaf3c6c-df00-4719-b48e-50518efdb33c,true,,,[],CPWD S DIVISION,2024-05-01T18:09:39.000Z,,,[]
,,,,,,,,INR,2026-01-28T12:13:14.000Z,,,[],,2fea7d5c-a3e5-4584-a3ae-de19bc96ba72,true,,,[],CPWD V Division,2026-01-28T12:13:14.000Z,,,[]
,,,,,,,,INR,2025-02-11T12:43:02.000Z,,,[],,20848812-3a13-491d-9ec3-46606e405741,true,,,[],"CPWD, Sub Division, DED-51, RK Puram, Delhi",2025-02-11T12:43:02.000Z,,,[]
,,,,,,,,INR,2025-06-18T13:15:43.000Z,,,[],,5df23096-49ad-49a1-8c88-62291313fd6d,true,,,[],Cygnett INN Jaipur,2025-06-18T13:15:43.000Z,,,[]
,,,,,,,,INR,2025-06-18T13:15:43.000Z,,,[],,c9e16e86-5701-438d-89d1-9425e98995dc,true,,,[],Cygnett Nainital,2025-06-18T13:15:43.000Z,,,[]
,,,,,,,,INR,2025-06-18T13:15:43.000Z,,,[],,cf05871a-b9b4-4dc8-987b-d426a75c16b1,true,,,[],Cygnett Style Ganga,2025-06-18T13:15:43.000Z,,,[]
,,,,,,,,INR,2025-11-07T20:52:06.000Z,,,[],,50e19342-c322-4e8b-901a-257e7bd205a0,true,,,[],D.E.C infrastructure and project pvt.ltd.,2025-11-07T20:52:06.000Z,,,[]
,,,,,,,,INR,2024-05-04T16:09:59.000Z,https://davivo.in,davivo.in,[],,090ba341-3c19-490b-8492-f9d027e83e6e,true,,,[],Davivo solutions,2024-05-14T15:30:54.000Z,,,[]
,,,,,,,,INR,2025-12-10T15:42:09.000Z,,,[],,31e08d7b-44a5-43e7-a0b7-98bd81355228,true,,,[],Dee vee project ltd,2025-12-10T15:42:09.000Z,,,[]
,,,,,,,,INR,2026-02-16T16:56:01.000Z,,,[],,39e91c55-f340-41ed-b949-a807107b6a26,true,,,[],DRISHKA INFO SYSTEM,2026-02-16T16:57:03.000Z,,,[]
,,,,,,,,INR,2024-02-21T15:14:42.000Z,https://thegreenify.com,thegreenify.com,[],,5e2b9605-4c9a-4090-aa80-caef8dd4f2c2,true,,,[],Dummy,2024-05-14T17:21:12.000Z,,,[]
,,,,,,,,INR,2025-10-31T15:36:39.000Z,,,[],,eb2c8dc8-cde5-42ae-8038-182fb32ae736,true,,,[],Energy Solutions Bhopal,2025-10-31T15:36:39.000Z,,,[]
,,,,,,,,INR,2023-09-20T14:23:18.000Z,,,[],,4a79a24b-44fb-409b-a147-eb9ae1a4e504,true,,,[],Ess Kay Constructions,2024-05-14T17:21:12.000Z,,,[]
,,,,,,,,INR,2024-05-21T14:06:33.000Z,,,[],,a09fad78-694a-4df2-b0b5-0b0545db6914,true,,,[],Esteem Splendor,2024-05-21T14:06:33.000Z,,,[]
