Account Owner (ID),Address / Address 1,Address / Address 2,Address / City,Address / State,Address / Country,Address / Post Code,ARR / Amount,ARR / Currency,Creation date,Domain Name / Link URL,Domain Name / Link Label,Domain Name / Secondary Links,Employees,Id,ICP,Linkedin / Link URL,Linkedin / Link Label,Linkedin / Secondary Links,Name,Last update,X / Link URL,X / Link Label,X / Secondary Links
,,,,,,,,INR,2024-12-02T15:27:04.000Z,,,[],,,true,,,[],Abhilasha Enterprises,2024-12-02T15:27:04.000Z,,,[]
,,,,,,,,INR,2024-07-05T12:50:03.000Z,,,[],,,true,,,[],Abhishek ji,2024-07-05T12:50:03.000Z,,,[]
,,,,,,,,INR,2024-12-04T13:41:30.000Z,,,[],,,true,,,[],Ajay Ji,2024-12-04T13:41:30.000Z,,,[]
,,,,,,,,INR,2023-09-16T18:58:54.000Z,,,[],,,true,,,[],AK Engineers,2024-05-14T15:30:54.000Z,,,[]
,,,,,,,,INR,2025-05-30T14:50:55.000Z,,,[],,,true,,,[],AMOLIK INFRASTRACTURE PRIVATE LIMITED,2025-05-30T14:50:55.000Z,,,[]
,,,,,,,,INR,2025-04-08T11:23:18.000Z,,,[],,,true,,,[],Arjun Bahl,2025-04-08T11:23:18.000Z,,,[]
,,,,,,,,INR,2025-01-08T12:36:44.000Z,,,[],,,true,,,[],Arpit Ji,2025-01-08T12:36:44.000Z,,,[]
,,,,,,,,INR,2025-06-18T13:15:43.000Z,,,[],,,true,,,[],Aryabhatta College,2025-06-18T13:15:43.000Z,,,[]
,,,,,,,,INR,2024-04-30T12:44:17.000Z,,,[],,,true,,,[],Arzone Infratech Pvt Ltd,2024-05-14T15:30:54.000Z,,,[]
,,,,,,,,INR,2024-09-24T16:23:03.000Z,,,[],,,true,,,[],B L Infra projects PVT LTD,2025-11-13T12:06:07.000Z,,,[]
,,,,,,,,INR,2024-09-10T14:10:23.000Z,,,[],,,true,,,[],B L Infra Projects Pvt. Ltd.,2024-12-20T12:37:38.000Z,,,[]
,,,,,,,,INR,2025-06-03T11:02:25.000Z,,,[],,,true,,,[],B.G. Shirke Const. Tech. Pvt. Ltd.,2025-06-12T03:14:17.000Z,,,[]
,,,,,,,,INR,2025-04-03T17:02:44.000Z,,,[],,,true,,,[],B.G. SHIRKE CONSTRUCTION TECHNOLOGY PVT. LTD.,2025-04-03T17:02:44.000Z,,,[]
,"306 Manisha Building, 75-76, Nehru Place",,New Delhi,Delhi,India,110019,,INR,2023-11-08T17:01:35.000Z,,,[],,,true,,,[],Bahl Builders (P) Ltd,2024-08-01T17:00:26.000Z,,,[]
,,,,,,,,INR,2025-06-28T10:43:16.000Z,,,[],,,true,,,[],Best Buildwell,2025-06-28T10:43:16.000Z,,,[]
,,,,,,,,INR,2025-12-11T12:29:53.000Z,,,[],,,true,,,[],Capacite infra projects ltd,2025-12-11T12:29:53.000Z,,,[]
,,,,,,,,INR,2024-05-14T16:18:52.000Z,,,[],,,true,,,[],Carber Ev Solution (OPC) Pvt. ltd.,2024-05-14T17:20:11.000Z,,,[]
,,,,,,,,INR,2024-08-29T14:02:51.000Z,,,[],,,true,,,[],Central Public Works Department,2024-08-29T14:02:51.000Z,,,[]
,"NHPC Limited Kargil, UT-Ladakh",,,Ladakh,India,,,INR,2024-05-13T14:57:01.000Z,,,[],,,true,,,[],Chutak Power Station,2024-05-30T12:07:00.000Z,,,[]
